hora_tour_start,stops_last,total_distance_last
15.0,15.0,48.08
12.0,30.0,29.28
16.0,25.0,33.92
16.0,23.0,43.21
17.0,13.0,11.26
17.0,24.0,42.54
17.0,23.0,33.99
10.0,5.0,33.01
17.0,16.0,31.6
17.0,16.0,29.31
13.0,12.0,65.23
8.0,3.0,24.7
15.0,16.0,34.23
14.0,33.0,57.26
13.0,20.0,52.61
15.0,30.0,27.78
10.0,24.0,45.4
15.0,31.0,36.73
11.0,12.0,71.23
13.0,25.0,40.17
16.0,7.0,60.86
10.0,27.0,30.21
12.0,12.0,59.3
12.0,38.0,34.05
10.0,11.0,32.3
14.0,21.0,54.62
15.0,12.0,73.73
10.0,16.0,36.77
12.0,19.0,43.17
16.0,10.0,28.38
15.0,30.0,48.63
10.0,25.0,31.43
17.0,4.0,10.63
16.0,10.0,59.4
16.0,21.0,34.98
14.0,13.0,48.62
16.0,25.0,41.54
12.0,25.0,22.83
15.0,31.0,32.76
17.0,18.0,22.85
12.0,15.0,66.41
14.0,21.0,69.03
17.0,14.0,22.46
14.0,2.0,27.04
15.0,13.0,23.68
12.0,15.0,62.99
16.0,36.0,37.19
12.0,24.0,67.27
18.0,3.0,46.81
14.0,10.0,33.25
18.0,15.0,28.25
16.0,26.0,19.37
10.0,2.0,38.34
16.0,28.0,36.24
15.0,26.0,45.07
16.0,30.0,53.48
12.0,32.0,37.5
16.0,28.0,53.1
12.0,27.0,56.87
17.0,16.0,71.33
14.0,29.0,31.94
16.0,44.0,45.45
16.0,39.0,31.96
11.0,35.0,49.59
12.0,9.0,46.85
11.0,8.0,49.0
13.0,7.0,65.69
13.0,31.0,42.83
11.0,6.0,34.17
19.0,22.0,21.5
16.0,12.0,43.07
14.0,8.0,32.02
17.0,31.0,36.86
17.0,31.0,24.61
11.0,11.0,32.43
13.0,8.0,35.72
12.0,12.0,33.89
16.0,11.0,28.28
13.0,32.0,65.91
11.0,7.0,14.75
15.0,25.0,50.88
14.0,16.0,24.21
11.0,10.0,30.59
13.0,5.0,78.38
15.0,31.0,50.17
14.0,16.0,65.4
11.0,13.0,17.67
14.0,24.0,44.21
11.0,8.0,44.83
14.0,23.0,27.63
11.0,16.0,61.44
11.0,20.0,30.32
15.0,9.0,51.98
14.0,12.0,39.08
17.0,27.0,51.72
17.0,25.0,71.19
16.0,28.0,26.65
9.0,22.0,77.04
16.0,33.0,51.31
11.0,11.0,59.91
16.0,23.0,51.5
12.0,22.0,79.18
15.0,19.0,36.51
16.0,35.0,50.65
15.0,26.0,29.21
15.0,21.0,47.59
17.0,14.0,31.5
16.0,33.0,48.09
8.0,3.0,38.05
12.0,18.0,39.79
18.0,8.0,24.86
12.0,28.0,42.86
16.0,13.0,52.65
10.0,22.0,78.11
11.0,14.0,34.94
15.0,26.0,28.69
13.0,30.0,28.18
16.0,6.0,30.51
11.0,29.0,48.95
15.0,15.0,52.89
18.0,21.0,46.44
12.0,29.0,44.71
16.0,14.0,24.62
18.0,21.0,70.76
16.0,18.0,26.99
15.0,24.0,68.99
16.0,30.0,53.83
16.0,15.0,52.31
